City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boguchany,58.3814,97.4531,-0.72,90,100,4.46,RU,1731298656
1,waitangi,-43.9535,-176.5597,15.46,88,98,2.68,NZ,1731298431
2,bethel,41.3712,-73.414,12.47,88,100,1.34,US,1731298374
3,new norfolk,-42.7826,147.0587,19.84,18,1,0.8,AU,1731298659
4,albany,42.6001,-73.9662,8.25,72,100,0.45,US,1731298107
5,isafjordur,66.0755,-23.124,3.12,81,85,10.5,IS,1731298440
6,longyearbyen,78.2186,15.6401,-2.09,100,100,2.06,SJ,1731298663
7,upington,-28.4478,21.2561,14.21,58,0,4.63,ZA,1731298664
8,cururupu,-1.8283,-44.8683,24.19,88,77,1.29,BR,1731298665
9,adamstown,-25.066,-130.1015,21.7,76,100,3.69,PN,1731298393
10,hadibu,12.65,54.0333,26.21,77,19,4.58,YE,1731298668
11,grytviken,-54.2811,-36.5092,-1.18,87,100,1.63,GS,1731298669
12,cimitarra,6.3142,-73.9497,23.01,98,100,1.04,CO,1731298670
13,richards bay,-28.783,32.0377,20.08,93,100,1.78,ZA,1731298671
14,hermanus,-34.4187,19.2345,14.33,86,9,4.37,ZA,1731298672
15,margaret river,-33.95,115.0667,17.84,62,24,4.98,AU,1731298673
16,al bawiti,28.3492,28.8659,14.35,55,3,1.4,EG,1731298675
17,san antonio de pale,-1.4014,5.6325,25.84,85,89,4.36,GQ,1731298676
18,mount gambier,-37.8333,140.7667,16.7,63,93,4.67,AU,1731298666
19,nadi,-17.8,177.4167,29.0,65,40,7.2,FJ,1731298678
20,kodinsk,58.6881,99.1844,-3.08,94,100,3.88,RU,1731298679
21,sitka,57.0531,-135.33,8.94,61,40,7.72,US,1731298680
22,cidreira,-30.1811,-50.2056,20.25,83,0,8.96,BR,1731298620
23,ust-nera,64.5667,143.2,-22.77,98,96,1.12,RU,1731298683
24,port-aux-francais,-49.35,70.2167,4.81,87,79,9.72,TF,1731298684
25,taro,-8.3862,115.28,28.69,63,61,1.04,ID,1731298685
26,lihue,21.9789,-159.3672,23.77,92,100,5.14,US,1731298686
27,kyshtovka,56.555,76.6271,-8.65,87,100,5.58,RU,1731298688
28,praia da vitoria,38.7333,-27.0667,20.14,88,75,7.74,PT,1731298689
29,la passe,45.5549,-0.8967,14.21,67,97,4.31,FR,1731298690
30,st. john's,47.5649,-52.7093,3.32,80,75,8.23,CA,1731298560
31,ambon,-3.6954,128.1814,32.08,62,40,3.09,ID,1731298693
32,san juan del sur,11.2529,-85.8705,23.36,97,100,2.55,NI,1731298694
33,shindand,33.3029,62.1474,12.7,44,1,1.3,AF,1731298695
34,mahikeng,-25.8652,25.6442,16.99,88,0,4.63,ZA,1731298698
35,olonkinbyen,70.9221,-8.7187,1.04,96,100,7.12,SJ,1731298508
36,qaqortoq,60.7167,-46.0333,-1.91,82,100,4.41,GL,1731298701
37,fauske,67.2588,15.3918,2.81,64,28,2.49,NO,1731298703
38,papatowai,-46.5619,169.4708,13.29,50,55,5.81,NZ,1731298704
39,tonghua,41.7201,125.9219,7.79,43,64,1.28,CN,1731298705
40,thompson,55.7435,-97.8558,-2.91,93,75,1.54,CA,1731298706
41,puerto natales,-51.7236,-72.4875,4.21,94,94,2.49,CL,1731298707
42,armacao de buzios,-22.7469,-41.8817,20.45,77,2,0.49,BR,1731298677
43,talnakh,69.4865,88.3972,-24.57,88,52,0.7,RU,1731298710
44,essaouira,31.5125,-9.77,19.72,59,7,6.17,MA,1731298711
45,saint-gaudens,43.0833,0.6667,10.91,97,89,0.56,FR,1731298712
46,puerto ayora,-0.7393,-90.3518,21.97,88,91,1.79,EC,1731298713
47,avarua,-21.2078,-159.775,24.03,69,75,4.63,CK,1731298515
48,nova sintra,14.8667,-24.7167,26.94,70,2,6.91,CV,1731298716
49,gambela,8.25,34.5833,21.57,78,0,1.64,ET,1731298717
50,selfoss,63.9331,-20.9971,5.58,81,100,5.64,IS,1731298718
51,polyarnyy,69.1989,33.4478,3.11,75,100,7.25,RU,1731298628
52,ribeira grande,38.5167,-28.7,20.99,88,31,9.83,PT,1731298443
53,coronado,32.6859,-117.1831,16.53,77,0,0.45,US,1731298721
54,mhamid,29.82,-5.72,19.87,37,73,4.77,MA,1731298723
55,carnarvon,-24.8667,113.6333,24.24,52,48,8.33,AU,1731298445
56,ukiah,39.1502,-123.2078,16.94,52,100,3.6,US,1731298725
57,utrik,11.2278,169.8474,28.42,77,4,8.47,MH,1731298726
58,margate,51.3813,1.3862,11.04,89,100,0.89,GB,1731298715
59,mana,5.6592,-53.7767,26.2,86,99,3.81,GF,1731298728
60,grand rapids,42.9634,-85.6681,12.32,87,100,5.66,US,1731298503
61,mili,6.0815,171.735,28.5,75,46,5.3,MH,1731298731
62,blackmans bay,-43.0167,147.3167,19.18,56,3,1.34,AU,1731298732
63,yellowknife,62.456,-114.3525,-14.13,92,75,4.02,CA,1731298733
64,la'ie,21.6477,-157.9253,24.66,81,15,2.68,US,1731298605
65,hamilton,39.1834,-84.5333,17.47,89,75,6.26,US,1731298515
66,dazhong,33.1997,120.4578,20.05,52,0,3.21,CN,1731298739
67,portland,45.5234,-122.6762,11.73,93,100,4.63,US,1731298611
68,katsuura,35.1333,140.3,19.96,81,100,5.65,JP,1731298742
69,fort st. john,56.2499,-120.8529,-2.38,68,100,1.78,CA,1731298505
70,wailua homesteads,22.0669,-159.378,23.44,89,100,5.14,US,1731298744
71,alesund,62.4723,6.1549,10.42,78,100,4.12,NO,1731298745
